"Baro","Temp_c","STPD"
750,15,0.917
750,16,0.913
750,17,0.908
750,18,0.904
750,19,0.9
750,20,0.895
750,21,0.89
750,22,0.886
750,23,0.881
750,24,0.876
750,25,0.872
750,26,0.867
750,27,0.862
750,28,0.857
750,29,0.852
750,30,0.847
750,31,0.842
750,32,0.837
752,15,0.92
752,16,0.915
752,17,0.911
752,18,0.906
752,19,0.902
752,20,0.897
752,21,0.893
752,22,0.888
752,23,0.883
752,24,0.879
752,25,0.874
752,26,0.869
752,27,0.864
752,28,0.859
752,29,0.854
752,30,0.849
752,31,0.844
752,32,0.839
754,15,0.922
754,16,0.918
754,17,0.913
754,18,0.909
754,19,0.904
754,20,0.9
754,21,0.895
754,22,0.891
754,23,0.886
754,24,0.881
754,25,0.876
754,26,0.872
754,27,0.867
754,28,0.862
754,29,0.857
754,30,0.852
754,31,0.846
754,32,0.841
756,15,0.925
756,16,0.92
756,17,0.916
756,18,0.911
756,19,0.907
756,20,0.902
756,21,0.898
756,22,0.893
756,23,0.888
756,24,0.883
756,25,0.879
756,26,0.874
756,27,0.869
756,28,0.864
756,29,0.859
756,30,0.854
756,31,0.849
756,32,0.844
758,15,0.927
758,16,0.923
758,17,0.918
758,18,0.914
758,19,0.909
758,20,0.905
758,21,0.9
758,22,0.896
758,23,0.891
758,24,0.886
758,25,0.881
758,26,0.876
758,27,0.872
758,28,0.866
758,29,0.861
758,30,0.856
758,31,0.851
758,32,0.846
760,15,0.93
760,16,0.925
760,17,0.921
760,18,0.916
760,19,0.912
760,20,0.907
760,21,0.902
760,22,0.898
760,23,0.893
760,24,0.888
760,25,0.883
760,26,0.879
760,27,0.874
760,28,0.869
760,29,0.864
760,30,0.859
760,31,0.854
760,32,0.848
762,15,0.932
762,16,0.928
762,17,0.923
762,18,0.919
762,19,0.914
762,20,0.91
762,21,0.905
762,22,0.9
762,23,0.896
762,24,0.891
762,25,0.886
762,26,0.881
762,27,0.876
762,28,0.871
762,29,0.866
762,30,0.861
762,31,0.856
762,32,0.851
764,15,0.936
764,16,0.93
764,17,0.926
764,18,0.921
764,19,0.916
764,20,0.912
764,21,0.907
764,22,0.903
764,23,0.898
764,24,0.893
764,25,0.888
764,26,0.884
764,27,0.879
764,28,0.874
764,29,0.869
764,30,0.864
764,31,0.858
764,32,0.853
766,15,0.937
766,16,0.933
766,17,0.928
766,18,0.924
766,19,0.919
766,20,0.915
766,21,0.91
766,22,0.905
766,23,0.9
766,24,0.896
766,25,0.891
766,26,0.886
766,27,0.881
766,28,0.876
766,29,0.871
766,30,0.866
766,31,0.861
766,32,0.855
768,15,0.94
768,16,0.935
768,17,0.931
768,18,0.926
768,19,0.922
768,20,0.917
768,21,0.912
768,22,0.908
768,23,0.903
768,24,0.898
768,25,0.893
768,26,0.888
768,27,0.883
768,28,0.878
768,29,0.873
768,30,0.868
768,31,0.863
768,32,0.858
770,15,0.942
770,16,0.938
770,17,0.933
770,18,0.928
770,19,0.924
770,20,0.919
770,21,0.915
770,22,0.91
770,23,0.905
770,24,0.901
770,25,0.896
770,26,0.891
770,27,0.886
770,28,0.881
770,29,0.876
770,30,0.871
770,31,0.865
770,32,0.86
